name,,n,clinical_phase,moa,target,disease_area,indication,drug_median_score,in_vitro,all_virus_mock_meta_GSE47960_SARS-BatSRBD_HAE_36_72,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_12_48,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_48_60,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_0_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_48
skf-83566,,3,Preclinical,dopamine receptor antagonist,DRD1|DRD5,,,476,FALSE,415,897,952.5,456,476,190,438,654,210,540,520
desoximetasone,,10,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses,478,FALSE,631,875,1000,478,425,467,767,299,312,384,585
mesalazine,,4,Launched,cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist,ALOX5|CHUK|IKBKB|MPO|PPARG|PTGS1|PTGS2,gastroenterology,ulcerative colitis|inflammatory bowel disease,478,FALSE,669,98,1288,354,788,315,478,769,784,435,234
oxidopamine,,3,Preclinical,neurotoxin,,,,478,FALSE,414,290,499,602,478,475,999,845,289,830,132
eticlopride,,4,Preclinical,dopamine receptor antagonist,DRD2|DRD3|DRD4,,,479,FALSE,277,1180,834,367,201,479,358,314,960,1006,715
loteprednol,,4,Launched,glucocorticoid receptor agonist|phospholipase inhibitor,NR3C1,ophthalmology,conjunctivitis,480,FALSE,374,1076,200,480,230,380,304,596,1175,1039,666
genistein,,41,Phase 2/Phase 3,tyrosine kinase inhibitor,CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,,,481,FALSE,563,438,325,424,504,481,542,427,587,455,559
tg-101348,,77,Phase 3,FLT3 inhibitor|JAK inhibitor,BRD4|JAK1|JAK2|JAK3|TYK2,,,481,FALSE,666,329,34,1085,1442,1459,476,38,216,481,593
levonorgestrel,,12,Launched,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist,AR|ESR1|PGR|SRD5A1,endocrinology,contraceptive,482,FALSE,477,187,939,482,635,591,678,503,466,354,382
pf-562271,,48,Phase 1,focal adhesion kinase inhibitor,PTK2|PTK2B,,,482,FALSE,391,1027,867,344,315,368,137,527,502,482,783
gefitinib,,41,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),483,FALSE,483,285,836,503,660,578,719,91,203,251,402
remoxipride,,4,Withdrawn,dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|SIGMAR1,,,484,FALSE,626,362,206,660,852,208,484,208,396,598,501
trifluridine,,5,Launched,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,TYMS,infectious disease,virus herpes simplex (HSV),485,FALSE,33,951,1152,104,177,177,36,856,1466,568,485
cgs-21680,,4,Preclinical,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,,486,FALSE,438,646,1630,879,486,372,458,496,895,393,304
elesclomol,,30,Phase 3,oxidative stress inducer,HSPA1A,,,486,FALSE,486,679,1235,260,272,407,405,1268,1032,592,266
droxinostat,,9,Preclinical,HDAC inhibitor,HDAC6|HDAC8,,,487,FALSE,172,643,529,340,432,255,142,697,1418,655,487
y-39983,,20,Phase 2,rho associated kinase inhibitor,ROCK1|ROCK2,,,487,FALSE,323,784,787,656,735,465,292,709,426,487,392
h-89,,13,Preclinical,PKA inhibitor,GSG2|PKIA|PRKACA,,,488,FALSE,297,540,469,777,711,779,702,79,85,284,488
flunisolide,,20,Launched,cytochrome P450 inhibitor,NR3C1,allergy,allergic rhinitis,489,FALSE,699,454,489,275,214,186,492,587,816,477,489
danusertib,,13,Phase 2,Aurora kinase inhibitor|growth factor receptor inhibitor,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK,,,491,FALSE,530,171,62,630,945,674,166,55,136,491,657
fk-888,,12,Phase 2,tachykinin antagonist,TACR1|TACR2,,,491,FALSE,649,638,606,445,281,491,557,524,364,344,363
hexylresorcinol,,2,Launched,local anesthetic,TYR,infectious disease,skin infections|first-aid antiseptic,493,FALSE,400,12,965,1562,1554,1515,273,353,233,493,545
mifepristone,,23,Launched,glucocorticoid receptor antagonist|progesterone receptor antagonist,AR|NR1I2|NR3C1|PGR,endocrinology,hyperglycemia|diabetes mellitus,493,FALSE,493,286,706,474,426,744,937,630,391,368,494
indatraline,,8,Preclinical,norepinephrine transporter inhibitor,MAOA|MAOB,,,495,FALSE,386,490,275,698,644,495,729,80,411,517,794
purvalanol-b,,2,Preclinical,tyrosine kinase inhibitor,CDK2|CDK4|CDK5|MAPK1|MAPK3|SRPK2,,,497,FALSE,866,1529,24,433,150,497,220,402,1693,1663,1705
cilostamide,,5,Preclinical,phosphodiesterase inhibitor,PDE3A|PDE3B,,,503,FALSE,668,852,509,545,810,381,483,246,503,395,443
jnj-38877605,,15,Phase 1,tyrosine kinase inhibitor,MET,,,504,FALSE,721,781,221,421,441,763,406,560,489,504,711
acyclovir,,11,Launched,DNA polymerase inhibitor,PNP,infectious disease,genitial herpes|shingles|chicken pox,505,FALSE,534,539,454,505,693,416,898,438,204,525,195
am-404,,13,Preclinical,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,CNR1|CNR2|FAAH|TRPV1,,,505,FALSE,198,590,1240,307,278,432,505,1157,1090,556,429
pd-168077,,3,Preclinical,dopamine receptor agonist,DRD2,,,505,FALSE,610,505,524,784,1148,1171,486,497,292,469,446
reversine,,16,Preclinical,Aurora kinase inhibitor,AURKB|INCENP|MAP2K1,,,506,FALSE,292,640,171,506,755,636,829,64,188,336,548
su-11274,,38,Preclinical,hepatocyte growth factor receptor inhibitor|tyrosine kinase inhibitor,MET,,,506,FALSE,794,657,242,470,484,418,402,538,804,506,973
m-344,,6,Preclinical,HDAC inhibitor,,,,508,FALSE,508,436,270,337,399,616,348,1569,1684,1278,570
clomifene,,23,Launched,estrogen receptor antagonist,ESR1,obstetrics/gynecology,infertility,509,FALSE,560,361,187,721,572,836,555,99,257,415,509
nvp-auy922,,111,Phase 2,HSP inhibitor,HSP90AA1|HSP90AB1,,,509,FALSE,827,72,800,999,912,509,279,260,224,364,606
artemisinin,,2,Launched,DNA synthesis inhibitor,CYP2B6,infectious disease,malaria,511,FALSE,511,898,2,376,307,604,1701,232,201,666,1131
mevastatin,,21,Preclinical,HMGCR inhibitor,HMGCR,,,511,FALSE,670,288,431,1131,864,612,650,247,175,275,511
erythrosine,,16,Preclinical,coloring agent,,,,513,FALSE,305,696,85,636,513,1177,1514,652,81,290,500
trap-101,,6,Preclinical,nociceptin/orphanin FQ receptor antagonist|opioid receptor antagonist,OPRL1,,,514,FALSE,512,621,655,330,514,359,760,488,752,792,286
gdc-0941,,65,Phase 2,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,515,FALSE,529,355,106,598,751,570,744,2,20,259,515
butabindide,,4,Preclinical,tripeptidyl peptidase inhibitor,TPP2,,,516,FALSE,377,97,1372,267,516,560,1050,1186,808,387,452
raltitrexed,,11,Launched,thymidylate synthase inhibitor,FPGS|TYMS,oncology,mesothelioma,516,FALSE,445,1205,516,302,298,339,312,1127,1337,1195,825
wye-354,,15,Preclinical,mTOR inhibitor,MTOR,,,516,FALSE,784,134,459,896,1170,554,516,18,115,267,629
pd-158780,,13,Preclinical,EGFR inhibitor,EGFR,,,517,FALSE,467,1245,315,441,517,634,922,313,653,310,664
pi-103,,87,Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,,517,FALSE,605,216,230,700,992,517,701,8,40,265,705
pirfenidone,,2,Launched,TGF beta receptor inhibitor,FURIN|TNF,pulmonary,idiopathic pulmonary fibrosis (IPF),518,FALSE,518,1102,1696,99,70,120,88,382,1507,1069,757
sdz-wag-994,,3,Phase 2,adenosine receptor agonist,ADORA1,,,518,FALSE,515,444,265,194,420,1109,1022,1379,518,958,587
enrofloxacin,,9,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections|gram-negative bacterial infections,519,FALSE,684,1161,1140,484,519,245,1316,970,459,320,150
nicorandil,,3,Launched,nitric oxide donor|potassium channel activator,KCNJ11,cardiology,angina pectoris,519,FALSE,533,231,300,378,786,982,1445,441,519,1119,280
l-161982,,8,Preclinical,prostanoid receptor antagonist,PTGER4,,,523,FALSE,496,608,555,417,442,239,1010,1007,523,569,262
nocodazole,,28,Preclinical,tubulin polymerization inhibitor,HPGDS,,,523,FALSE,325,523,1213,226,391,161,305,1480,994,576,654
diacerein,,2,Launched,interleukin inhibitor,IL1B,rheumatology,osteoarthritis,524,FALSE,348,353,405,893,894,777,872,376,150,524,603
medroxyprogesterone,,15,Launched,progesterone receptor agonist,ESR1|PGR,endocrinology,contraceptive,526,FALSE,676,326,925,617,526,347,968,795,477,400,336
triamcinolone,,31,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,dermatology,corticosteroid-responsive dermatoses,526,FALSE,837,639,526,360,205,136,627,712,679,499,450
mepacrine,,65,Launched,cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,PLA2G1B|PLA2G4A|PLA2G6|PLCL1,infectious disease,giardiasis,527,FALSE,572,527,1294,535,668,393,191,101,288,490,972
ki-16425,,5,Preclinical,lysophosphatidic acid receptor antagonist,LPAR1|LPAR3,,,530,FALSE,463,798,1470,1260,1410,1668,530,326,412,515,253
triamterene,,7,Launched,sodium channel blocker,SCNN1A|SCNN1B|SCNN1D|SCNN1G,endocrinology|cardiology,hypokalemia|hypertension|edema,531,FALSE,356,1178,118,531,430,623,452,227,755,589,809
gr-159897,,5,Preclinical,tachykinin antagonist,TAC1|TACR2,,,532,FALSE,532,512,1124,648,557,658,298,1090,512,193,181
ku-0063794,,38,Preclinical,mTOR inhibitor,MTOR,,,535,FALSE,847,524,291,933,1138,1020,535,11,177,458,882
vinorelbine,,35,Launched,tubulin polymerization inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,non-small cell lung cancer (NSCLC),535,FALSE,355,775,1448,329,367,240,310,1542,1044,535,571
thiocolchicoside,,5,Launched,GABA receptor antagonist,GABRA1|GABRB2|GABRG2|GLRA1|GLRB,neurology/psychiatry,muscle relaxant,536,FALSE,1074,315,404,967,1447,1085,188,350,536,590,534
biib021,,16,Phase 2,HSP inhibitor,HSP90AA1,,,537,FALSE,807,155,807,951,1065,1314,510,442,448,537,385
nvp-bgj398,,26,Phase 2,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|KDR,,,537,FALSE,334,543,591,537,576,237,593,643,221,224,362
fpl-55712,,3,Phase 1,leukotriene receptor antagonist,,,,539,FALSE,1017,166,1056,668,891,539,664,199,453,167,171
fentiazac,,3,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology,muscle pain|joint pain,541,FALSE,78,1559,541,369,295,898,1428,1317,1264,443,322
levocetirizine,,2,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria,542,FALSE,123,82,1647,111,658,542,1198,591,566,479,100
pf-477736,,30,Phase 1,CHK inhibitor,CHEK1|CHEK2,,,545,FALSE,1441,422,545,292,361,494,599,761,904,516,729
etacrynic-acid,,14,Launched,sodium/potassium/chloride transporter inhibitor,ATP1A1|SLC12A1,cardiology|gastroenterology|nephrology|rheumatology,hypertension|congestive heart failure|edema|hepatic cirrhosis|chronic renal failure|nephrotic syndrome,546,FALSE,586,336,1305,416,546,277,415,1176,1148,495,614
nefazodone,,8,Withdrawn,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor,ADRA1A|ADRA1B|ADRA2A|CYP3A4|HTR1A|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,,,547,FALSE,723,145,219,736,1168,1002,547,631,331,405,522
betahistine,,2,Launched,histamine receptor agonist|histamine receptor antagonist,HRH1|HRH3,neurology/psychiatry,Meniere's disease,548,FALSE,50,390,809,549,417,955,126,834,1151,548,375
atpa,,3,Preclinical,glutamate receptor agonist,GRIA2|GRIK1,,,549,FALSE,273,702,1512,634,508,549,399,693,286,827,166
zalcitabine,,2,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1),549,FALSE,111,511,51,864,961,1540,1245,272,748,549,525
cdk1-5-inhibitor,,6,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,CDK1|CDK5|GSK3B,,,551,FALSE,405,596,1709,272,376,149,551,1275,1167,612,359
zamifenacin,,4,Phase 3,acetylcholine receptor antagonist,CHRM3,,,551,FALSE,615,240,1208,551,799,451,518,727,263,801,521
altrenogest,,11,Launched,progestogen hormone,PGR,endocrinology,estrus,552,FALSE,552,263,1100,287,327,588,554,1414,661,365,418
wz-4002,,26,Preclinical,EGFR inhibitor,EGFR|ERBB2,,,553,FALSE,363,761,553,719,709,1179,1047,264,321,394,403
butoconazole,,5,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,vulvovaginal candidiasis,554,FALSE,105,762,554,204,111,713,997,1249,889,509,203
jte-907,,8,Phase 1,cannabinoid receptor inverse agonist,CNR2,,,554,FALSE,389,1177,1266,487,224,463,743,637,975,339,554
moroxydine,,2,Launched,antiviral,,infectious disease,influenza A virus infection,554,FALSE,376,554,15,1581,1631,1693,1683,1149,87,520,428
gbr-12935,,2,Preclinical,dopamine uptake inhibitor,AGTR1|SLC6A3,,,555,FALSE,262,549,508,1410,555,438,703,785,189,1020,1104
moclobemide,,4,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,depression|anxiety,555,FALSE,1063,297,782,555,457,286,573,665,541,545,695
pd-173074,,33,Preclinical,FGFR inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,,,555,FALSE,555,845,1018,309,217,337,868,715,936,466,427
amuvatinib,,20,Phase 2,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor,KIT|MET,,,557,FALSE,774,123,1027,557,627,364,463,777,341,409,583
fr-122047,,5,Preclinical,cyclooxygenase inhibitor,,,,557,FALSE,713,397,1001,612,503,202,515,557,1022,554,801
vindesine,,9,Launched,tubulin polymerization inhibitor,TUBB|TUBB1,oncology,breast cancer|non-small cell lung cancer (NSCLC)|melanoma,557,FALSE,557,244,1547,472,650,172,580,1151,529,425,660
gw-441756,,18,Preclinical,growth factor receptor inhibitor,NTRK1,,,558,FALSE,553,1266,969,515,577,558,770,389,753,531,514
linifanib,,35,Phase 3,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|TEK,,,559,FALSE,545,1107,1136,392,403,415,632,763,559,501,727
selumetinib,,100,Phase 3,MEK inhibitor,MAP2K1,,,560,FALSE,725,534,352,828,911,698,1102,81,76,333,560
pd-184352,,60,Phase 2,MEK inhibitor,MAP2K1|MAP3K1|MAP3K2,,,561,FALSE,651,779,618,502,561,482,753,124,310,416,567
psb-36,,8,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,,563,FALSE,804,140,151,628,700,563,539,254,666,523,1083
u-0126,,37,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAP2K2|MAP2K7|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,,,563,FALSE,674,455,236,805,918,585,728,207,163,341,563
vidarabine,,6,Launched,antiviral,ADA,infectious disease,virus herpes simplex (HSV)|varicella-zoster virus (VZV),563,FALSE,133,1642,1312,446,563,484,139,1663,1590,539,866
lypressin,,10,Launched,vasopressin receptor agonist,AVPR1A|AVPR1B|AVPR2,,,564,FALSE,894,1104,434,509,336,786,441,1258,959,532,564
sulfaguanidine,,2,Launched,bacterial antifolate,,infectious disease,urinary tract infections,564,FALSE,343,598,1,910,564,1142.5,433,582,156,231,708
tyrphostin-ag-835,,9,Preclinical,protein tyrosine kinase inhibitor,EGFR,,,565,FALSE,71,924,788,208,181,330,325,1143,1180,565,656
donepezil,,6,Launched,acetylcholinesterase inhibitor,ACHE|HTR2A,neurology/psychiatry,Alzheimer's disease,567,FALSE,944,234,798,471,444,691,1036,506,567,538,937
ranolazine,,5,Launched,sodium channel blocker,SCN10A|SCN4A|SCN5A|SCN9A,cardiology,chronic stable angina,567,FALSE,567,332,694,1014,818,1148,1314,322,408,471,397
aprepitant,,5,Launched,tachykinin antagonist,TACR1,gastroenterology,nausea|vomiting,570,FALSE,514,374,1380,692,570,287,259,871,1412,561,982
fluoxetine,,11,Launched,selective serotonin reuptake inhibitor (SSRI),ANO1|HTR2B|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|bulimia nervosa|panic disorders|bipolar disorder,574,FALSE,574,519,853,848,848,824,622,178,491,475,469
semaxanib,,8,Phase 3,VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,,,574,FALSE,487,687,102,685,1015,324,802,690,398,566,574
bi-78d3,,10,Preclinical,JNK inhibitor,MAPK8,,,576,FALSE,643,602,1257,409,429,498,576,1551,858,528,437
metrizamide,,2,Launched,radiopaque medium,,radiology,contrast agent,577,FALSE,285,1650,1554,530,312,1180,1646,302,397,636,577
nutlin-3,,16,Preclinical,MDM inhibitor,MDM2|TP53,,,580,FALSE,828,664,293,365,229,249,293,922,1010,580,613
ethosuximide,,2,Launched,succinimide antiepileptic,CACNA1G|CACNA1H|CACNA1I,neurology/psychiatry,epilepsy,581,FALSE,200,518,427,942,483,1270,1674,1626,370,1041,581
benproperine,,2,Launched,antitussive,SCN5A,pulmonary,cough suppressant,582,FALSE,1649,363,1164,550,604,582,334,1224,479,1087,351
bisacodyl,,15,Launched,laxative,,gastroenterology,constipation,583,FALSE,583,751,1047,738,568,323,504,609,769,508,474
rimexolone,,9,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,ophthalmology,anterior uveitis,583,FALSE,268,777,864,495,313,175,425,1088,1080,583,688
zm-447439,,24,Preclinical,Aurora kinase inhibitor,AURKA|AURKB,,,584,FALSE,596,439,996,574,679,805,698,383,482,584,483
am-92016,,6,Preclinical,potassium channel blocker,GRIN1,,,589,FALSE,336,1420,730,532,188,269,979,589,1259,312,1225
efavirenz,,4,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4,infectious disease,human immunodeficiency virus (HIV-1),589,FALSE,612,850,985,468,510,462,170,290,589,753,671
parbendazole,,38,Preclinical,tubulin polymerization inhibitor,TUBB,,,589,FALSE,369,689,1193,490,765,448,615,875,200,500,589
quizartinib,,33,Phase 3,FLT3 inhibitor,CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET,,,596,FALSE,619,865,1014,282,306,439,596,718,660,529,457
methiazole,,17,Preclinical,anthelmintic agent,,,,597,FALSE,766,227,831,498,607,551,1016,597,363,441,701
ha-14-1,,5,Preclinical,BCL inhibitor,BCL2,,,599,FALSE,195,451,1535,607,419,866,1140,599,862,465,326
skf-81297,,14,Preclinical,dopamine receptor agonist,DRD1|DRD5,,,599,FALSE,541,673,1028,539,466,599,1227,946,652,440,541
iodophenpropit,,14,Preclinical,histamine receptor antagonist,HRH3|HRH4,,,601,FALSE,823,424,428,710,698,822,472,56,259,601,689
hydroflumethiazide,,6,Launched,sodium/potassium/chloride transporter inhibitor,ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A1|SLC12A3,cardiology|gastroenterology|rheumatology|nephrology,edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|chronic renal failure|acute glomerulonephritis (AGN)|hypertension,603,FALSE,1195,460,979,811,1182,119,1116,603,430,555,517
phenethyl-isothiocyanate,,23,Phase 2,anticancer agent,CYP2E1,,,603,FALSE,503,911,383,576,642,723,447,1347,1163,603,602
varenicline,,3,Launched,acetylcholine receptor agonist,CHRNA3|CHRNA4|CHRNA6|CHRNA7,neurology/psychiatry,smoking cessation,603,FALSE,603,1311,1180,565,1089,625,1193,251,443,572,555
amiodarone,,29,Launched,potassium channel blocker,ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2,cardiology,ventricular arrhythmias,604,FALSE,636,541,303,998,610,613,969,245,406,604,518
sb-408124,,7,Preclinical,orexin receptor antagonist,HCRTR1|HCRTR2,,,604,FALSE,617,220,1019,281,301,378,347,1513,884,653,604
sb-216641,,11,Preclinical,serotonin receptor antagonist,HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,,,606,FALSE,611,546,320,606,578,766,673,335,744,651,423
metaxalone,,4,Launched,muscle relaxant,,neurology/psychiatry,muscle pain,607,FALSE,231,1614,14,401,840,859,1250,633,591,607,278
erbstatin-analog,,8,Preclinical,EGFR inhibitor|tyrosine kinase inhibitor,EGFR,,,608,FALSE,513,712,481,610,492,611,934,1558,608,476,597
pk-11195,,24,Phase 1,benzodiazepine receptor antagonist,TSPO,,,609,FALSE,263,767,415,623,524,535,520,1084,876,624,609
pazopanib,,40,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3,oncology,renal cell carcinoma (RCC)|soft tissue sarcoma (STS),612,FALSE,810,1014,423,273,227,397,577,612,919,737,1118
procaterol,,12,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma,612,FALSE,566,1042,589,546,530,820,663,971,612,745,544
nefopam,,4,Launched,cyclooxygenase inhibitor,,neurology/psychiatry,pain relief,615,FALSE,880,899,162,597,325,562,668,613,618,615,889
daidzein,,4,Phase 2,estrogen receptor agonist,ESRRA|ESRRB|ESRRG|TRPC5,,,616,FALSE,492,1055,1109,202,179,798,306,616,1320,1055,601
epinephrine,,7,Launched,adrenergic receptor agonist|neurotransmitter,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|TNF,cardiology|allergy|pulmonary,cardiac arrest|anaphylactic shock|asthma,616,FALSE,280,616,737,368,226,431,884,1135,948,770,540
lidoflazine,,7,Launched,calcium channel blocker,SCN1A|SCN3A|SLC29A1,,,616,FALSE,309,1184,594,906,616,279,503,854,750,803,358
somatostatin,,8,Launched,somatostatin receptor agonist,OPRD1|OPRM1|SSTR1|SSTR2|SSTR3|SSTR4|SSTR5,hematology,hemorrhage,616,FALSE,780,364,421,677,882,488,353,666,393,789,616
tenoxicam,,3,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology|orthopedics,rheumatoid arthritis|osteoarthritis|ankylosing spondylitis|tendinitis|bursitis|periarthritis,619,FALSE,276,594,624,619,608,1008,653,1218,872,316,163
budesonide,,28,Launched,glucocorticoid receptor agonist,NR3C1,gastroenterology,Crohn's disease,620,FALSE,888,569,903,321,250,169,413,746,911,620,792
moxisylyte,,2,Withdrawn,adrenergic receptor antagonist,,,,620,FALSE,693,384,1228,423,294,1165,172,526,983,1040,620
co-102862,,3,Phase 1,,SCN4A|SCN9A,,,621,FALSE,1340,1132,1409,452,621,320,439,177,325,842,1496
hydrocortisone,,45,Launched,glucocorticoid receptor agonist,,dermatology|neurology/psychiatry,eczema|psoriasis|seborrheic dermatitis|itching,621,TRUE,1165,533,944,570,494,221,768,667,594,621,692
acenocoumarol,,2,Launched,vitamin K antagonist,VKORC1,hematology,deep vein thrombosis (DVT),622,FALSE,244,499,50,492,493,622,1364,676,1295,905,933
modafinil,,5,Launched,adrenergic receptor agonist,ADRA1B|SLC6A3,pulmonary|neurology/psychiatry,obstructive sleep apnea|shift work disorder (SWD),622,FALSE,191,358,1352,599,438,996,849,1199,622,752,413
nvp-aew541,,31,Preclinical,IGF-1 inhibitor,IGF1R|INSR,,,622,FALSE,1097,901,1038,270,311,270,408,172,751,622,883
tyrphostin-ag-494,,13,Preclinical,EGFR inhibitor,EGFR,,,622,FALSE,173,747,691,189,180,377,782,653,770,404,622
nu-7441,,36,Preclinical,DNA dependent protein kinase inhibitor,PRKDC,,,627,FALSE,758,627,235,580,732,741,462,201,407,691,759
bms-777607,,8,Phase 1/Phase 2,AXL kinase inhibitor|c-Met inhibitor|FLT3 inhibitor|hepatocyte growth factor receptor inhibitor|macrophage migration inhibiting factor inhibitor|tyrosine kinase inhibitor,AXL|MERTK|MET|MST1R|TYRO3,,,629,FALSE,1005,803,674,253,186,174,385,571,878,629,953
foretinib,,24,Phase 2,VEGFR inhibitor,FLT1|FLT4|KDR|MET,,,630,FALSE,783,571,671,704,863,605,715,194,439,488,630
sdm25n,,7,Preclinical,opioid receptor antagonist,OPRD1,,,632,FALSE,928,1222,598,1132,1329,632,1240,295,318,588,505
src-kinase-inhibitor-i,,5,Preclinical,src inhibitor,CSK|LCK|RIPK2,,,633,FALSE,954,538,1465,673,652,669,633,564,433,462,528
skf-96365,,19,Preclinical,calcium channel blocker,CYP3A4|PKD2|TRPC1|TRPC3|TRPC4|TRPC5|TRPV2,,,634,FALSE,751,613,852,595,592,436,572,805,634,678,915
securinine,,22,Preclinical,GABA receptor antagonist|TP53 activator,GABRA1,,,635,FALSE,806,452,635,688,813,845,422,1212,533,553,479
dovitinib,,35,Phase 3,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|INSR|KDR|KIT|PDGFRA|PDGFRB,,,636,FALSE,815,942,636,390,482,367,763,435,732,421,719
benperidol,,7,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,schizophrenia,637,FALSE,587,958,1545,453,584,637,666,1552,1510,547,537
fludroxycortide,,20,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,infectious disease|dermatology,skin infections|psoriasis,637,FALSE,800,248,627,562,459,276,766,828,910,637,784
liothyronine,,9,Launched,thyroid hormone stimulant,THRA|THRB,endocrinology,hypothyroidism|myxedema coma,637,FALSE,901,835,273,203,245,222,637,1531,1351,676,579
metformin,,11,Launched,insulin sensitizer,ACACB|PRKAB1,endocrinology,diabetes mellitus,637,FALSE,1056,407,1424,637,806,537,799,739,308,330,495
danazol,,29,Launched,estrogen receptor antagonist|progesterone receptor agonist,AR|CCL2|ESR1|GNRHR|GNRHR2|PGR,obstetrics/gynecology|cardiology,endometriosis|angioedema,639,FALSE,686,501,1172,569,688,514,571,743,893,639,549
bd-1008,,3,Preclinical,sigma receptor antagonist,,,,641,FALSE,1313,87,641,567,323,263,154,1179,1254,952,1221
glipizide,,6,Launched,sulfonylurea,ABCC8|KCNJ10|KCNJ11|PPARG,endocrinology,diabetes mellitus|hyperglycemia,642,FALSE,538,481,629,1079,1283,800,883,476,741,642,349
ml-9,,4,Preclinical,myosin light chain kinase inhibitor,TRPC6,,,642,FALSE,707,603,842,1033,273,401,1246,221,843,519,642
